Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-21 16:24:57.520 +0100,"Success",0:00:00,0,0,0,"20170821_162457.520/LogFile.txt","","",1
2017-08-21 16:25:08.132 +0100,"Success",0:00:00,0,0,0,"20170821_162508.132/LogFile.txt","","",1
2017-08-21 16:25:24.024 +0100,"Success",0:00:00,0,0,0,"20170821_162524.024/LogFile.txt","","",1
2017-08-21 17:09:38.055 +0100,"Failure",0:00:00,1,0,0,"20170821_170938.055/LogFile.txt","","SenseTalk Compiler Exception -- in engine:\nSyntax Error at line 46: Syntax Error - can't understand ""end"" at or near character 1557",0
2017-08-22 13:40:41.780 +0100,"Success",0:00:00,0,0,0,"20170822_134041.780/LogFile.txt","","",1
2017-08-22 14:07:47.159 +0100,"Failure",0:00:00,7,0,0,"20170822_140747.159/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_startapplication'",0
2017-08-22 14:14:49.515 +0100,"Failure",0:00:00,8,0,0,"20170822_141449.515/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_selectautologdatabase'",0
2017-08-22 14:26:35.746 +0100,"Failure",0:00:00,10,0,0,"20170822_142635.746/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_openstationlog'",0
2017-08-22 14:40:52.598 +0100,"Failure",0:00:01,9,0,0,"20170822_144052.598/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_openstationlog'",1
2017-08-22 14:42:52.264 +0100,"Failure",0:00:01,9,0,0,"20170822_144252.264/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_openstationlog'",1
2017-08-22 14:44:26.597 +0100,"Failure",0:00:01,9,0,0,"20170822_144426.597/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_openstationlog'",1
2017-08-22 14:46:52.498 +0100,"Failure",0:00:01,9,0,0,"20170822_144652.498/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'aw_openstationlog'",1
